,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
238,Uvs,Temp_max_aug_std,3.117820958140468,GISS-E2-1-G,3.396398693237163,INM-CM5-0,3.466659034940455,UKESM1-0-LL,"(3.318268986117606, 3.4242127164719554)"
239,Zavkhan,Temp_max_aug_std,2.6682339916999056,GISS-E2-1-G,3.0362606307327105,HadGEM3-GC31-LL,3.248742227198077,MRI-ESM2-0,"(2.95179451744077, 3.1064464831867973)"
240,Almaty Region,Temp_max_sep,24.11528166132442,MPI-ESM1-2-HR,24.991871547432314,EC-Earth3-Veg,26.118951612903224,HadGEM3-GC31-LL,"(24.57909201034162, 25.39488881003831)"
241,Altai Republic,Temp_max_sep,12.7792023412291,FIO-ESM-2-0,13.68916150264007,EC-Earth3-Veg,14.913727907744208,HadGEM3-GC31-LL,"(13.285353845599156, 14.179867246194062)"
242,Altai krai,Temp_max_sep,18.87170937427037,INM-CM5-0,19.714358850883336,MRI-ESM2-0,21.08312660518328,UKESM1-0-LL,"(19.31366101452719, 20.33615328559793)"
243,Altay Prefecture,Temp_max_sep,20.164977796674226,FIO-ESM-2-0,20.944405076845552,MIROC6,22.247391896573443,HadGEM3-GC31-LL,"(20.565824996262595, 21.468974144191304)"
244,BayanUlgii,Temp_max_sep,11.029598006965944,FIO-ESM-2-0,11.957646816950463,MIROC6,13.509474167956656,HadGEM3-GC31-LL,"(11.532453946230694, 12.565255143731205)"
245,Bortala Mongol AP,Temp_max_sep,20.84061135371179,CMCC-ESM2,21.85421134201497,EC-Earth3-Veg,22.980412702744854,HadGEM3-GC31-LL,"(21.350210436785012, 22.164372721595903)"
246,Changji Hui AP,Temp_max_sep,23.719488356559093,CMCC-ESM2,24.504525094300085,GISS-E2-1-G,25.70138306789606,HadGEM3-GC31-LL,"(24.15463022797374, 24.963020460739266)"
247,East Kazakhstan Region,Temp_max_sep,20.572681877641376,MPI-ESM1-2-HR,21.484895414067218,MIROC6,22.80551293016704,HadGEM3-GC31-LL,"(21.046200763545524, 21.98528579929796)"
248,Govi-Altai,Temp_max_sep,18.507089552238806,CMCC-ESM2,19.488965884861408,MIROC6,20.79910381130064,HadGEM3-GC31-LL,"(19.161114734467336, 20.06326790248526)"
249,Ili Kazakh Autonomous Prefecture,Temp_max_sep,20.51144519815357,CMCC-ESM2,21.41681385104706,GISS-E2-1-G,22.58384408072506,HadGEM3-GC31-LL,"(20.945500297184214, 21.798561266392948)"
250,Khovd,Temp_max_sep,16.557595990794574,CMCC-ESM2,17.648255813953487,MIROC6,18.925794876453487,HadGEM3-GC31-LL,"(17.200580733102758, 18.167898601274114)"
251,Pavlodar Region,Temp_max_sep,20.044932665745858,INM-CM5-0,21.188864614322146,MIROC6,22.749905373459413,HadGEM3-GC31-LL,"(20.76186762323653, 21.86903574480426)"
252,Tyva Republic,Temp_max_sep,13.234383681244545,FIO-ESM-2-0,14.175149069370583,EC-Earth3-Veg,15.369307583935234,UKESM1-0-LL,"(13.726677795968861, 14.612604892828173)"
253,Uvs,Temp_max_sep,16.742164015531063,CMCC-ESM2,17.789118862725452,MIROC6,19.22324649298597,HadGEM3-GC31-LL,"(17.320656278552345, 18.34410039826282)"
254,Zavkhan,Temp_max_sep,14.482222923559116,CMCC-ESM2,15.58297057287132,MIROC6,16.876509990423123,HadGEM3-GC31-LL,"(15.131777721491973, 16.083371532114423)"
255,Almaty Region,Temp_max_sep_std,4.81317218572427,BCC-CSM2-MR,4.874860280106745,FIO-ESM-2-0,4.967532486593576,GFDL-ESM4,"(4.86491939782913, 4.919116898762601)"
256,Altai Republic,Temp_max_sep_std,3.189886322209214,MRI-ESM2-0,3.3168753786661127,INM-CM5-0,3.42096659824353,GFDL-ESM4,"(3.257996782275452, 3.337002437607784)"
257,Altai krai,Temp_max_sep_std,1.1629275069594245,MPI-ESM1-2-HR,1.2199569056129025,EC-Earth3-Veg,1.2639468945502177,HadGEM3-GC31-LL,"(1.1923730968343853, 1.2296619130808017)"
258,Altay Prefecture,Temp_max_sep_std,5.232211853163781,MRI-ESM2-0,5.337329123889235,BCC-CSM2-MR,5.404487842417798,FIO-ESM-2-0,"(5.29480975481954, 5.358351251240509)"
259,BayanUlgii,Temp_max_sep_std,3.088324456795956,GFDL-ESM4,3.1518035108243323,EC-Earth3-Veg,3.2896111727625272,GISS-E2-1-G,"(3.1290407441706423, 3.1847472190967405)"
260,Bortala Mongol AP,Temp_max_sep_std,6.8387611271098825,GFDL-ESM4,6.915490125140318,GISS-E2-1-G,6.970697031299471,EC-Earth3-Veg,"(6.897163655086095, 6.9316057631201335)"
261,Changji Hui AP,Temp_max_sep_std,5.057238818310807,INM-CM5-0,5.099865703469151,FIO-ESM-2-0,5.149940605247632,GFDL-ESM4,"(5.088896241466578, 5.124572166485759)"
262,East Kazakhstan Region,Temp_max_sep_std,3.1966366633574963,CMCC-ESM2,3.2516752482781093,INM-CM5-0,3.2885604344806465,BCC-CSM2-MR,"(3.2258662849668878, 3.2625294981996142)"
263,Govi-Altai,Temp_max_sep_std,3.804856611964334,GISS-E2-1-G,3.990928612003035,UKESM1-0-LL,4.035990720219036,FIO-ESM-2-0,"(3.946358333347161, 4.017652570146962)"
264,Ili Kazakh Autonomous Prefecture,Temp_max_sep_std,5.78004483812881,BCC-CSM2-MR,5.808062785035956,GFDL-ESM4,5.853205098822249,MIROC6,"(5.797621824100696, 5.822235105741249)"
265,Khovd,Temp_max_sep_std,4.120429740480873,MRI-ESM2-0,4.180745933570998,MIROC6,4.2795162729651,GISS-E2-1-G,"(4.16082406067647, 4.205014142017136)"
266,Pavlodar Region,Temp_max_sep_std,0.7183517323933799,GFDL-ESM4,0.8568018515163315,FIO-ESM-2-0,0.93560581148883,MRI-ESM2-0,"(0.8178379947055177, 0.8823890266263195)"
267,Tyva Republic,Temp_max_sep_std,2.802381081552225,GISS-E2-1-G,2.8292448015431124,FIO-ESM-2-0,2.8883683296793388,ACCESS-CM2,"(2.816840186294745, 2.8501216085909533)"
268,Uvs,Temp_max_sep_std,2.8901945943522804,GISS-E2-1-G,3.06250661923019,FIO-ESM-2-0,3.115841836232885,GFDL-ESM4,"(3.0179227882659223, 3.0859688302853554)"
269,Zavkhan,Temp_max_sep_std,2.536812801196697,GISS-E2-1-G,2.7728710590369983,UKESM1-0-LL,2.8326982935962657,GFDL-ESM4,"(2.707107074390233, 2.798092728809164)"
270,Almaty Region,Temp_max_oct,14.868368725704151,CMCC-ESM2,15.71409649287322,MIROC6,16.77443224442474,ACCESS-CM2,"(15.474223141540936, 16.142859232199353)"
271,Altai Republic,Temp_max_oct,3.825286122213259,CMCC-ESM2,5.198503730932825,MIROC6,5.945937568751833,UKESM1-0-LL,"(4.591672341684628, 5.3548177978921725)"
272,Altai krai,Temp_max_oct,9.254346155342828,CMCC-ESM2,10.461001342516928,HadGEM3-GC31-LL,11.58150804537318,UKESM1-0-LL,"(9.905163044579337, 10.69021271797626)"
273,Altay Prefecture,Temp_max_oct,10.14171056153943,CMCC-ESM2,11.256777132149155,GFDL-ESM4,12.2284836388259,HadGEM3-GC31-LL,"(10.779497845758689, 11.609518684998912)"
274,BayanUlgii,Temp_max_oct,1.973715200512771,CMCC-ESM2,3.110588295762384,GFDL-ESM4,4.259597523219814,HadGEM3-GC31-LL,"(2.7066717057320613, 3.5606444288758814)"
275,Bortala Mongol AP,Temp_max_oct,12.123706039457268,CMCC-ESM2,13.0268247036806,MIROC6,14.05009406191516,ACCESS-CM2,"(12.722271022600625, 13.416354083870411)"
