,zone,month,min_value,min_model,median_value,median_model,max_value,max_model,confidence_intervals
74,Zavkhan,Temp_min_mar,-20.42427466045621,BCC-CSM2-MR,-19.161744460647743,MRI-ESM2-0,-17.814279340066168,HadGEM3-GC31-LL,"(-19.599080260139658, -18.67698324191636)"
75,Almaty Region,Temp_min_mar_std,4.040593658578053,FIO-ESM-2-0,4.139808568257291,CMCC-ESM2,4.298443826232565,UKESM1-0-LL,"(4.103736251479401, 4.182717366062035)"
76,Altai Republic,Temp_min_mar_std,3.4961782390808893,ACCESS-CM2,3.704215951956806,MIROC6,3.823817704440838,HadGEM3-GC31-LL,"(3.622154555661881, 3.7385879736508674)"
77,Altai krai,Temp_min_mar_std,0.966787880584168,ACCESS-CM2,1.0341157015186226,MRI-ESM2-0,1.2410076022449668,INM-CM5-0,"(1.0162681829554672, 1.109737483314723)"
78,Altay Prefecture,Temp_min_mar_std,3.991818224844109,ACCESS-CM2,4.266079963757665,MRI-ESM2-0,4.701843854296565,INM-CM5-0,"(4.164996062785749, 4.42410968795727)"
79,BayanUlgii,Temp_min_mar_std,2.9115920029722595,GFDL-ESM4,3.078898807739736,INM-CM5-0,3.253998391610131,UKESM1-0-LL,"(2.9933986551101737, 3.1115974498209913)"
80,Bortala Mongol AP,Temp_min_mar_std,5.462636308560618,UKESM1-0-LL,5.7018829512321325,FIO-ESM-2-0,5.780202110775311,EC-Earth3-Veg,"(5.61003527494817, 5.720866265560178)"
81,Changji Hui AP,Temp_min_mar_std,3.2848895622229484,HadGEM3-GC31-LL,3.400251267741279,FIO-ESM-2-0,3.5713536728288715,INM-CM5-0,"(3.364220858703547, 3.4466286440841243)"
82,East Kazakhstan Region,Temp_min_mar_std,2.515317515293015,MPI-ESM1-2-HR,2.5798988724448515,BCC-CSM2-MR,3.0996345628922883,HadGEM3-GC31-LL,"(2.5748776147306454, 2.8068552484825564)"
83,Govi-Altai,Temp_min_mar_std,3.107132534296968,CMCC-ESM2,3.308938422540482,INM-CM5-0,3.5042018226708858,MIROC6,"(3.2295921922335293, 3.3711526533740925)"
84,Ili Kazakh Autonomous Prefecture,Temp_min_mar_std,4.849765044215671,ACCESS-CM2,5.036492746159989,MRI-ESM2-0,5.26142325884333,INM-CM5-0,"(4.966280194973221, 5.1095174431534875)"
85,Khovd,Temp_min_mar_std,2.3615111349200237,GFDL-ESM4,2.870525077006536,MPI-ESM1-2-HR,3.1368640956867715,UKESM1-0-LL,"(2.715113240644561, 2.959570319834783)"
86,Pavlodar Region,Temp_min_mar_std,0.6786132848204259,UKESM1-0-LL,0.9430604233459532,INM-CM5-0,1.2781836812773744,BCC-CSM2-MR,"(0.8267587077138401, 1.0384133566819134)"
87,Tyva Republic,Temp_min_mar_std,2.179770423080606,UKESM1-0-LL,2.3187072876256987,MIROC6,2.4179708607563613,GFDL-ESM4,"(2.2932732487317713, 2.3660763804324176)"
88,Uvs,Temp_min_mar_std,3.039572245103697,MRI-ESM2-0,3.129717120365745,BCC-CSM2-MR,3.328053012459922,UKESM1-0-LL,"(3.084251562967019, 3.186034210415885)"
89,Zavkhan,Temp_min_mar_std,3.497614011097496,GFDL-ESM4,3.908167449339327,MIROC6,4.198146579242828,GISS-E2-1-G,"(3.767949525451191, 3.966340307354788)"
90,Almaty Region,Temp_min_apr,2.784627975175612,MPI-ESM1-2-HR,3.2873218304576146,GISS-E2-1-G,3.740912500852486,HadGEM3-GC31-LL,"(3.1610202441974624, 3.492997431440853)"
91,Altai Republic,Temp_min_apr,-6.287034320915224,MPI-ESM1-2-HR,-5.350044230346143,MRI-ESM2-0,-4.341302434731593,GFDL-ESM4,"(-5.6066078259582355, -5.005258899141612)"
92,Altai krai,Temp_min_apr,-0.7079460980669702,ACCESS-CM2,0.4297377379805821,MIROC6,1.6396061038310374,INM-CM5-0,"(-0.04853380559338244, 0.8616710410234445)"
93,Altay Prefecture,Temp_min_apr,0.2159486877795099,MPI-ESM1-2-HR,0.9921139933114448,CMCC-ESM2,1.5522676229056438,BCC-CSM2-MR,"(0.8437918194068211, 1.2799421905344057)"
